Frame,Time,X,Y,Z
605,2.01333,188.824,535.459,869.727
606,2.01666,188.685,535.424,871.523
607,2.02,188.418,535.366,873.271
608,2.02333,188.325,535.233,874.989
609,2.02666,188.128,535.233,876.82
610,2.03,187.972,535.202,878.492
611,2.03333,187.706,535.19,880.259
612,2.03666,187.555,535.098,882.009
613,2.04,187.377,534.975,883.783
614,2.04333,187.18,534.913,885.555
615,2.04666,186.966,534.746,887.277
616,2.05,186.857,534.599,889.108
617,2.05333,186.7,534.573,890.801
618,2.05666,186.45,534.508,892.586
619,2.06,186.191,534.408,894.334
620,2.06333,186.011,534.27,896.048
621,2.06666,185.81,534.252,897.912
622,2.07,185.581,534.029,899.582
623,2.07333,185.421,533.877,901.403
624,2.07666,185.29,533.816,903.095
625,2.08,185.067,533.63,904.887
626,2.08333,184.816,533.58,906.643
627,2.08666,184.578,533.345,908.336
628,2.09,184.343,533.24,910.208
629,2.09333,184.049,533.219,911.988
630,2.09666,183.816,532.972,913.76
631,2.1,183.675,532.889,915.522
632,2.10333,183.486,532.687,917.288
633,2.10666,183.303,532.561,919.149
634,2.11,183.054,532.394,920.853
635,2.11333,182.85,532.22,922.665
636,2.11666,182.51,532.107,924.401
637,2.12,182.296,531.878,926.211
638,2.12333,182.14,531.707,927.982
639,2.12666,181.886,531.559,929.8
640,2.13,181.625,531.31,931.698
641,2.13333,181.391,531.161,933.449
642,2.13666,181.132,530.903,935.233
643,2.14,180.769,530.726,937.022
644,2.14333,180.546,530.589,938.815
645,2.14666,180.398,530.333,940.626
646,2.15,180.129,530.194,942.348
647,2.15333,179.826,529.912,944.171
648,2.15666,179.577,529.773,945.97
649,2.16,179.313,529.468,947.777
650,2.16333,178.933,529.308,949.528
651,2.16666,178.712,529.275,951.326
652,2.17,178.432,529.014,953.087
653,2.17333,178.131,528.776,955
654,2.17666,177.913,528.538,956.705
655,2.18,177.583,528.301,958.579
656,2.18333,177.28,528.092,960.426
657,2.18666,177.059,527.745,962.117
658,2.19,176.719,527.461,964.01
659,2.19333,176.444,527.252,965.76
660,2.19666,176.237,526.873,967.589
661,2.2,175.973,526.593,969.426
662,2.20333,175.643,526.337,971.187
663,2.20666,175.309,526.153,973.04
664,2.21,175.035,525.837,974.806
665,2.21333,174.733,525.648,976.62
666,2.21666,174.451,525.264,978.49
667,2.22,174.082,525.057,980.285
668,2.22333,173.87,524.843,982.033
669,2.22666,173.608,524.518,983.85
670,2.23,173.229,524.23,985.708
671,2.23333,172.919,523.952,987.549
672,2.23666,172.717,523.61,989.273
673,2.24,172.374,523.38,991.076
674,2.24333,172.172,522.999,992.975
675,2.24666,171.853,522.782,994.797
676,2.25,171.529,522.351,996.609
677,2.25333,171.251,522.017,998.408
678,2.25666,170.916,521.739,1000.23
679,2.26,170.574,521.376,1001.962
680,2.26333,170.381,520.99,1003.885
681,2.26666,170.105,520.632,1005.698
682,2.27,169.763,520.355,1007.476
683,2.27333,169.397,520.057,1009.345
684,2.27666,169.121,519.769,1011.138
685,2.28,168.84,519.388,1013.03
