Frame,Time,X (m),Y (m),Z (m)
970.0,3.23,2.02825,5.1466899999999995,6.747870000000001
971.0,3.23333,2.02636,5.15061,6.76495
972.0,3.23667,2.026,5.15625,6.78249
973.0,3.24,2.02467,5.15886,6.79955
974.0,3.24333,2.0240199999999997,5.16312,6.817240000000001
975.0,3.24667,2.02303,5.1667499999999995,6.834969999999999
976.0,3.25,2.02231,5.17193,6.85154
977.0,3.25333,2.02149,5.175660000000001,6.86875
978.0,3.25667,2.0213300000000003,5.179930000000001,6.8869299999999996
979.0,3.26,2.02088,5.18352,6.90359
980.0,3.26333,2.01973,5.187799999999999,6.92092
981.0,3.26667,2.01894,5.191369999999999,6.93856
982.0,3.27,2.0172499999999998,5.194249999999999,6.9563
983.0,3.27333,2.0162,5.1976700000000005,6.97394
984.0,3.27667,2.0157499999999997,5.20174,6.9906
985.0,3.28,2.01447,5.20571,7.0086699999999995
986.0,3.28333,2.0127099999999998,5.21026,7.025460000000001
987.0,3.28667,2.01233,5.21328,7.04362
988.0,3.29,2.01088,5.216609999999999,7.06013
989.0,3.29333,2.01012,5.22059,7.078250000000001
990.0,3.29667,2.00855,5.22422,7.09486
991.0,3.3,2.0074,5.22718,7.11291
992.0,3.30333,2.00699,5.23062,7.13024
993.0,3.30667,2.00628,5.234030000000001,7.14722
994.0,3.31,2.00555,5.238479999999999,7.1652
995.0,3.31333,2.00515,5.24076,7.18232
996.0,3.31667,2.00372,5.24433,7.19956
997.0,3.32,2.00209,5.2474300000000005,7.21748
998.0,3.32333,2.00134,5.251,7.23494
999.0,3.32667,1.99984,5.2529200000000005,7.251900000000001
1000.0,3.33,1.9994999999999998,5.25687,7.269629999999999
1001.0,3.33333,1.99897,5.25933,7.28744
