Frame,Time,X (cm),Y (cm),Z (cm)
664.0,2.21,25.837,28.389,21.0399
665.0,2.21333,25.8074,28.4686,21.160400000000003
666.0,2.21667,25.776799999999998,28.5353,21.2746
667.0,2.22,25.745800000000003,28.6267,21.4136
668.0,2.22333,25.714800000000004,28.695299999999996,21.5288
669.0,2.22667,25.682499999999997,28.7677,21.656200000000002
670.0,2.23,25.6565,28.8471,21.7786
671.0,2.23333,25.6356,28.9267,21.9139
672.0,2.23667,25.6053,29.0045,22.0252
673.0,2.24,25.5724,29.085199999999997,22.1482
674.0,2.24333,25.5473,29.1658,22.2903
675.0,2.24667,25.5198,29.241000000000003,22.4019
676.0,2.25,25.4762,29.3182,22.525100000000002
677.0,2.25333,25.4674,29.391199999999998,22.662200000000002
678.0,2.25667,25.4297,29.475099999999998,22.781100000000002
679.0,2.26,25.400299999999998,29.547000000000004,22.896700000000003
680.0,2.26333,25.372,29.637,23.0353
681.0,2.26667,25.3367,29.7041,23.1642
682.0,2.27,25.3144,29.7822,23.288
683.0,2.27333,25.2776,29.8727,23.4197
684.0,2.27667,25.2602,29.9475,23.5474
685.0,2.28,25.2256,30.022699999999997,23.6648
686.0,2.28333,25.188200000000002,30.1149,23.7933
687.0,2.28667,25.1678,30.182799999999997,23.9299
688.0,2.29,25.136000000000003,30.2656,24.0546
689.0,2.29333,25.101599999999998,30.3382,24.177500000000002
690.0,2.29667,25.089599999999997,30.424500000000002,24.3253
691.0,2.3,25.0523,30.5014,24.436600000000002
692.0,2.30333,25.0261,30.5979,24.5629
693.0,2.30667,24.9984,30.666500000000003,24.6929
694.0,2.31,24.965799999999998,30.7442,24.8262
695.0,2.31333,24.936600000000002,30.8239,24.955099999999998
696.0,2.31667,24.9182,30.911099999999998,25.090799999999998
697.0,2.32,24.889699999999998,30.9852,25.2152
698.0,2.32333,24.857,31.082100000000004,25.335900000000002
699.0,2.32667,24.8278,31.1539,25.4775
700.0,2.33,24.8005,31.225099999999998,25.604000000000003
701.0,2.33333,24.7688,31.313499999999998,25.7357
702.0,2.33667,24.7457,31.395699999999998,25.8653
703.0,2.34,24.7226,31.473000000000003,25.999599999999997
704.0,2.34333,24.685,31.564999999999998,26.1264
705.0,2.34667,24.668100000000003,31.618900000000004,26.261200000000002
706.0,2.35,24.6324,31.713900000000002,26.394299999999998
707.0,2.35333,24.6108,31.792399999999997,26.5217
708.0,2.35667,24.5893,31.871199999999998,26.6659
709.0,2.36,24.5574,31.9561,26.793799999999997
710.0,2.36333,24.5368,32.0344,26.919
711.0,2.36667,24.500899999999998,32.123200000000004,27.0556
712.0,2.37,24.4748,32.2047,27.172199999999997
713.0,2.37333,24.4418,32.2924,27.3165
714.0,2.37667,24.4312,32.3685,27.457299999999996
715.0,2.38,24.4041,32.4467,27.5808
716.0,2.38333,24.371100000000002,32.5402,27.7163
717.0,2.38667,24.3535,32.612,27.8444
718.0,2.39,24.316499999999998,32.7051,27.9832
719.0,2.39333,24.2966,32.792,28.1099
720.0,2.39667,24.2749,32.8643,28.246
721.0,2.4,24.2415,32.960300000000004,28.3801
722.0,2.40333,24.2172,33.0305,28.5082
723.0,2.40667,24.1853,33.1272,28.6519
724.0,2.41,24.154400000000003,33.1985,28.7726
725.0,2.41333,24.1325,33.2954,28.9113
726.0,2.41667,24.1007,33.3816,29.0442
727.0,2.42,24.0793,33.4562,29.1741
728.0,2.42333,24.0505,33.538799999999995,29.3202
729.0,2.42667,24.0249,33.6293,29.4471
730.0,2.43,23.999000000000002,33.7179,29.5802
731.0,2.43333,23.9682,33.8046,29.7221
732.0,2.43667,23.9453,33.8857,29.8524
733.0,2.44,23.9222,33.975,29.994799999999998
734.0,2.44333,23.9042,34.061099999999996,30.1222
735.0,2.44667,23.8714,34.1431,30.262999999999998
736.0,2.45,23.8504,34.224000000000004,30.403399999999998
737.0,2.45333,23.8209,34.3136,30.532999999999998
738.0,2.45667,23.7885,34.404700000000005,30.6681
739.0,2.46,23.775299999999998,34.4757,30.802100000000003
740.0,2.46333,23.7391,34.5663,30.9418
741.0,2.46667,23.7175,34.6511,31.078300000000002
742.0,2.47,23.6956,34.743900000000004,31.216199999999997
743.0,2.47333,23.6639,34.8221,31.3461
744.0,2.47667,23.6382,34.9062,31.472699999999996
745.0,2.48,23.6139,35.002300000000005,31.6307
746.0,2.48333,23.593899999999998,35.0797,31.762
747.0,2.48667,23.569200000000002,35.175200000000004,31.889100000000003
748.0,2.49,23.5503,35.2599,32.0407
749.0,2.49333,23.515700000000002,35.3403,32.169799999999995
750.0,2.49667,23.4905,35.428,32.3036
751.0,2.5,23.473599999999998,35.525400000000005,32.456900000000005
752.0,2.50333,23.444399999999998,35.6092,32.5751
753.0,2.50667,23.4311,35.6939,32.7226
754.0,2.51,23.3965,35.7915,32.868
755.0,2.51333,23.378800000000002,35.8695,32.9976
756.0,2.51667,23.3512,35.9684,33.1453
757.0,2.52,23.3251,36.0526,33.2769
758.0,2.52333,23.3048,36.1362,33.414699999999996
759.0,2.52667,23.2776,36.2295,33.571
760.0,2.53,23.2532,36.3103,33.695800000000006
761.0,2.53333,23.2319,36.402100000000004,33.845600000000005
762.0,2.53667,23.202199999999998,36.494299999999996,33.986599999999996
763.0,2.54,23.172900000000002,36.583,34.1242
764.0,2.54333,23.1527,36.6705,34.268
765.0,2.54667,23.127000000000002,36.7622,34.4101
766.0,2.55,23.1006,36.855399999999996,34.5554
767.0,2.55333,23.0766,36.9356,34.7016
768.0,2.55667,23.049,37.029199999999996,34.8409
769.0,2.56,23.021700000000003,37.1221,34.9822
770.0,2.56333,22.9976,37.2214,35.1317
771.0,2.56667,22.9739,37.2943,35.274
772.0,2.57,22.952,37.380900000000004,35.422399999999996
773.0,2.57333,22.9226,37.4853,35.5695
774.0,2.57667,22.910800000000002,37.5675,35.7096
775.0,2.58,22.8695,37.658699999999996,35.857600000000005
